project,{evorand_time_budget},{project},{bug_id}{b_f},0{test_id},split{_minute},method
Csv,1200,Csv,4b,00,split1,seqC
Csv,1200,Csv,4b,01,split1,seqC
Csv,1200,Csv,4b,02,split1,seqC
Csv,1200,Csv,4b,03,split1,seqC
Csv,1200,Csv,4b,04,split1,seqC
Csv,1200,Csv,6b,00,split1,seqC
Csv,1200,Csv,6b,01,split1,seqC
Csv,1200,Csv,6b,01,split3,seqC
Csv,1200,Csv,6b,02,split1,seqC
Csv,1200,Csv,6b,03,split1,seqC
Csv,1200,Csv,6b,03,split2,seqC
Csv,1200,Csv,6b,04,split1,seqC
Csv,1200,Csv,9b,00,split1,seqC
Csv,1200,Csv,9b,01,split1,seqC
Csv,1200,Csv,9b,02,split1,seqC
Csv,1200,Csv,9b,03,split1,seqC
Csv,1200,Csv,9b,04,split1,seqC
Gson,1200,Gson,4b,00,split1,seqC
Gson,1200,Gson,4b,00,split3,BOTH
Gson,1200,Gson,4b,01,split1,seqC
Gson,1200,Gson,4b,02,split1,BOTH
Gson,1200,Gson,4b,02,split2,BOTH
Gson,1200,Gson,4b,03,split1,seqC
Gson,1200,Gson,4b,03,split3,BOTH
Gson,1200,Gson,4b,04,split1,BOTH
Gson,1200,Gson,6b,00,split4,seqP
Gson,1200,Gson,12b,00,split1,seqC
Gson,1200,Gson,12b,01,split1,seqC
Gson,1200,Gson,12b,02,split1,seqC
Gson,1200,Gson,12b,03,split1,seqC
Gson,1200,Gson,12b,04,split1,seqC
Gson,1200,Gson,17b,03,split1,seqC
JacksonCore,1200,JacksonCore,9b,00,split1,seqP
JacksonCore,1200,JacksonCore,10b,00,split2,seqP
JacksonCore,1200,JacksonCore,11b,00,split1,seqP
JacksonCore,1200,JacksonCore,11b,01,split1,seqP
JacksonCore,1200,JacksonCore,11b,02,split1,seqP
JacksonCore,1200,JacksonCore,11b,03,split1,BOTH
JacksonCore,1200,JacksonCore,11b,04,split1,seqP
JacksonCore,1200,JacksonCore,14b,01,split1,seqC
JacksonCore,1200,JacksonCore,14b,03,split1,seqC
JacksonCore,1200,JacksonCore,14b,04,split1,seqC
JacksonCore,1200,JacksonCore,17b,00,split1,seqP
JacksonCore,1200,JacksonCore,17b,01,split1,seqP
JacksonCore,1200,JacksonCore,17b,02,split1,seqP
JacksonCore,1200,JacksonCore,17b,03,split1,seqP
JacksonCore,1200,JacksonCore,17b,04,split1,seqP
JacksonCore,1200,JacksonCore,18b,00,split1,seqP
JacksonCore,1200,JacksonCore,20b,01,split1,seqC
JacksonCore,1200,JacksonCore,24b,00,split2,seqP
JacksonCore,1200,JacksonCore,26b,00,split1,seqC
JacksonDatabind,1200,JacksonDatabind,3b,02,split1,seqP
JacksonDatabind,1200,JacksonDatabind,13b,00,split1,seqC
JacksonDatabind,1200,JacksonDatabind,13b,00,split2,seqC
JacksonDatabind,1200,JacksonDatabind,13b,02,split2,seqC
JacksonDatabind,1200,JacksonDatabind,13b,02,split3,seqC
